# time, Cp, dv, du, dq, dT, T
31402500,6.94945,-1.4e-05,-0.00223,-0.00234197,-0.000337,0.838186
31602500,6.01528,-3.1e-05,-0.00211,-0.00235799,-0.000392,0.837794
31802500,6.38535,-1.9e-05,-0.0026,-0.00275208,-0.000431,0.837363
32002500,11.2,-2.4e-05,-0.00244,-0.002632,-0.000235,0.837128
32202500,4.43509,-1.7e-05,-0.00174,-0.00187604,-0.000423,0.836705
32402500,8.68903,-8.7e-05,-0.00271,-0.0034061,-0.000392,0.836313
32602500,4.37046,1.5e-05,-0.00248,-0.00236005,-0.00054,0.835773
32802500,6.4279,-3.9e-05,-0.00179,-0.00210192,-0.000327,0.835446
33002500,3.85995,-1.9e-05,-0.00172,-0.00187208,-0.000485,0.834961
33202500,6.73609,-5.7e-05,-0.00209,-0.00254624,-0.000378,0.834583
33402500,4.77417,-1.2e-05,-0.00168,-0.00177599,-0.000372,0.834211
33602500,7.4076,-3.7e-05,-0.00263,-0.002926,-0.000395,0.833816
33802500,9.80394,-3.9e-05,-0.00259,-0.00290197,-0.000296,0.83352
34002500,5.12153,-3e-05,-0.0025,-0.00274002,-0.000535,0.832985
34202500,5.76723,-3e-05,-0.00209,-0.00232996,-0.000404,0.832581
34402500,7.21427,-2.4e-05,-0.00203,-0.002222,-0.000308,0.832273
34602500,4.63978,-4.5e-05,-0.0017,-0.00206006,-0.000444,0.831829
34802500,5.65892,1.9e-05,-0.00284,-0.00268799,-0.000475,0.831354
35002500,10.6219,-6.8e-05,-0.00157,-0.00211377,-0.000199,0.831155
35202500,3.26733,-9e-06,-0.00214,-0.00221198,-0.000677,0.830478
35402500,10.9769,-3.5e-05,-0.00354,-0.00381995,-0.000348,0.83013
35602500,3.63563,-3.7e-05,-0.00146,-0.00175601,-0.000483,0.829647
35802500,8.84615,0,-0.00161,-0.00161,-0.000182,0.829465
36002500,7.26778,-6.8e-05,-0.00261,-0.00315422,-0.000434,0.829031
36202500,6.79295,-3.4e-05,-0.00182,-0.00209223,-0.000308,0.828723
36402500,4.81433,-7e-06,-0.00264,-0.00269603,-0.00056,0.828163
36602500,5.92045,-4.1e-05,-0.00236,-0.00268789,-0.000454,0.827709
36802500,10.9029,-4.2e-05,-0.00167,-0.00200613,-0.000184,0.827525
37002500,5.72282,2e-06,-0.0027,-0.002684,-0.000469,0.827056
37202500,4.51587,-7.2e-05,-0.00142,-0.00199602,-0.000442,0.826614
37402500,7.40936,4e-06,-0.00224,-0.00220799,-0.000298,0.826316
37602500,6.23851,-6.2e-05,-0.00223,-0.00272623,-0.000437,0.825879
37802500,3.66161,4.4e-05,-0.00219,-0.00183813,-0.000502,0.825377
38002500,7.00681,-4.4e-05,-0.00243,-0.0027817,-0.000397,0.82498
38202500,9.34721,-6.9e-05,-0.00185,-0.00240223,-0.000257,0.824723
38402500,6.83992,-8e-06,-0.0022,-0.00226401,-0.000331,0.824392
